code,company,name,gender,age
0,4You,Roy Braun,male,20
1,Rainbow,Joseph Holsten,male,21
2,CloudFy,Wilma Mcinnis,female,22
3,FlyingDrops,Paula Daniel,female,23
4,4You,Trina Thomas,none,24
5,Rainbow,Jesse Decelle,male,25
6,CloudFy,Gregoria Gil,female,26
7,FlyingDrops,Jack Sabo,none,27
8,4You,Debbie Helms,none,28
9,Rainbow,Virginia Roberts,female,29
10,CloudFy,Roy Braun,male,30
11,FlyingDrops,Joseph Holsten,male,31
12,4You,Wilma Mcinnis,female,32
13,Rainbow,Paula Daniel,female,33
14,CloudFy,Trina Thomas,none,34
15,FlyingDrops,Jesse Decelle,male,35
16,4You,Gregoria Gil,female,36
17,Rainbow,Jack Sabo,none,37
18,CloudFy,Debbie Helms,none,38
19,FlyingDrops,Virginia Roberts,female,39
20,4You,Roy Braun,male,40
21,Rainbow,Joseph Holsten,male,41
22,CloudFy,Wilma Mcinnis,female,42
23,FlyingDrops,Paula Daniel,female,43
24,4You,Trina Thomas,none,44
25,Rainbow,Jesse Decelle,male,45
26,CloudFy,Gregoria Gil,female,46
27,FlyingDrops,Jack Sabo,none,47
28,4You,Debbie Helms,none,48
29,Rainbow,Virginia Roberts,female,49
30,CloudFy,Roy Braun,male,50
31,FlyingDrops,Joseph Holsten,male,51
32,4You,Wilma Mcinnis,female,52
33,Rainbow,Paula Daniel,female,53
34,CloudFy,Trina Thomas,none,54
35,FlyingDrops,Jesse Decelle,male,55
36,4You,Gregoria Gil,female,56
37,Rainbow,Jack Sabo,none,57
38,CloudFy,Debbie Helms,none,58
39,FlyingDrops,Virginia Roberts,female,59
40,4You,Roy Braun,male,60
41,Rainbow,Joseph Holsten,male,61
42,CloudFy,Wilma Mcinnis,female,62
43,FlyingDrops,Paula Daniel,female,63
44,4You,Trina Thomas,none,64
45,Rainbow,Jesse Decelle,male,20
46,CloudFy,Gregoria Gil,female,21
47,FlyingDrops,Jack Sabo,none,22
48,4You,Debbie Helms,none,23
49,Rainbow,Virginia Roberts,female,24
50,CloudFy,Roy Braun,male,25
51,FlyingDrops,Joseph Holsten,male,26
52,4You,Wilma Mcinnis,female,27
53,Rainbow,Paula Daniel,female,28
54,CloudFy,Trina Thomas,none,29
55,FlyingDrops,Jesse Decelle,male,30
56,4You,Gregoria Gil,female,31
57,Rainbow,Jack Sabo,none,32
58,CloudFy,Debbie Helms,none,33
59,FlyingDrops,Virginia Roberts,female,34
60,4You,Roy Braun,male,35
61,Rainbow,Joseph Holsten,male,36
62,CloudFy,Wilma Mcinnis,female,37
63,FlyingDrops,Paula Daniel,female,38
64,4You,Trina Thomas,none,39
65,Rainbow,Jesse Decelle,male,40
66,CloudFy,Gregoria Gil,female,41
67,FlyingDrops,Jack Sabo,none,42
68,4You,Debbie Helms,none,43
69,Rainbow,Virginia Roberts,female,44
70,CloudFy,Roy Braun,male,45
71,FlyingDrops,Joseph Holsten,male,46
72,4You,Wilma Mcinnis,female,47
73,Rainbow,Paula Daniel,female,48
74,CloudFy,Trina Thomas,none,49
75,FlyingDrops,Jesse Decelle,male,50
76,4You,Gregoria Gil,female,51
77,Rainbow,Jack Sabo,none,52
78,CloudFy,Debbie Helms,none,53
79,FlyingDrops,Virginia Roberts,female,54
80,4You,Roy Braun,male,55
81,Rainbow,Joseph Holsten,male,56
82,CloudFy,Wilma Mcinnis,female,57
83,FlyingDrops,Paula Daniel,female,58
84,4You,Trina Thomas,none,59
85,Rainbow,Jesse Decelle,male,60
86,CloudFy,Gregoria Gil,female,61
87,FlyingDrops,Jack Sabo,none,62
88,4You,Debbie Helms,none,63
89,Rainbow,Virginia Roberts,female,64
90,CloudFy,Roy Braun,male,20
91,FlyingDrops,Joseph Holsten,male,21
92,4You,Wilma Mcinnis,female,22
93,Rainbow,Paula Daniel,female,23
94,CloudFy,Trina Thomas,none,24
95,FlyingDrops,Jesse Decelle,male,25
96,4You,Gregoria Gil,female,26
97,Rainbow,Jack Sabo,none,27
98,CloudFy,Debbie Helms,none,28
99,FlyingDrops,Virginia Roberts,female,29
100,4You,Roy Braun,male,30
101,Rainbow,Joseph Holsten,male,31
102,CloudFy,Wilma Mcinnis,female,32
103,FlyingDrops,Paula Daniel,female,33
104,4You,Trina Thomas,none,34
105,Rainbow,Jesse Decelle,male,35
106,CloudFy,Gregoria Gil,female,36
107,FlyingDrops,Jack Sabo,none,37
108,4You,Debbie Helms,none,38
109,Rainbow,Virginia Roberts,female,39
110,CloudFy,Roy Braun,male,40
111,FlyingDrops,Joseph Holsten,male,41
112,4You,Wilma Mcinnis,female,42
113,Rainbow,Paula Daniel,female,43
114,CloudFy,Trina Thomas,none,44
115,FlyingDrops,Jesse Decelle,male,45
116,4You,Gregoria Gil,female,46
117,Rainbow,Jack Sabo,none,47
118,CloudFy,Debbie Helms,none,48
119,FlyingDrops,Virginia Roberts,female,49
120,4You,Roy Braun,male,50
121,Rainbow,Joseph Holsten,male,51
122,CloudFy,Wilma Mcinnis,female,52
123,FlyingDrops,Paula Daniel,female,53
124,4You,Trina Thomas,none,54
125,Rainbow,Jesse Decelle,male,55
126,CloudFy,Gregoria Gil,female,56
127,FlyingDrops,Jack Sabo,none,57
128,4You,Debbie Helms,none,58
129,Rainbow,Virginia Roberts,female,59
130,CloudFy,Roy Braun,male,60
131,FlyingDrops,Joseph Holsten,male,61
132,4You,Wilma Mcinnis,female,62
133,Rainbow,Paula Daniel,female,63
134,CloudFy,Trina Thomas,none,64
135,FlyingDrops,Jesse Decelle,male,20
136,4You,Gregoria Gil,female,21
137,Rainbow,Jack Sabo,none,22
138,CloudFy,Debbie Helms,none,23
139,FlyingDrops,Virginia Roberts,female,24
140,4You,Roy Braun,male,25
141,Rainbow,Joseph Holsten,male,26
142,CloudFy,Wilma Mcinnis,female,27
143,FlyingDrops,Paula Daniel,female,28
144,4You,Trina Thomas,none,29
145,Rainbow,Jesse Decelle,male,30
146,CloudFy,Gregoria Gil,female,31
147,FlyingDrops,Jack Sabo,none,32
148,4You,Debbie Helms,none,33
149,Rainbow,Virginia Roberts,female,34
150,CloudFy,Roy Braun,male,35
151,FlyingDrops,Joseph Holsten,male,36
152,4You,Wilma Mcinnis,female,37
153,Rainbow,Paula Daniel,female,38
154,CloudFy,Trina Thomas,none,39
155,FlyingDrops,Jesse Decelle,male,40
156,4You,Gregoria Gil,female,41
157,Rainbow,Jack Sabo,none,42
158,CloudFy,Debbie Helms,none,43
159,FlyingDrops,Virginia Roberts,female,44
160,4You,Roy Braun,male,45
161,Rainbow,Joseph Holsten,male,46
162,CloudFy,Wilma Mcinnis,female,47
